,Country,Temperature_Change
2,Australia,0.8133241719520861
11,Namibia,0.9218555320648285
12,South Africa,0.9587403100775163
14,United Kingdom (Europe),1.0938342142353719
1,Argentina,1.0964429175475754
5,Costa Rica,1.1928967582804795
3,Brazil,1.2627061310782288
15,United States,1.473473044397462
8,Germany,1.5194464411557442
6,Egypt,1.5416953840732752
10,Japan,1.5495613107822415
0,Algeria,1.6137230443974566
4,China,1.647685341789991
9,Iceland,1.6833863636363624
13,Ukraine,2.1784489076814664
7,Finland,2.325210007047216
